wavelength(nm), irradiance (watts/m^2/nm)
172.0, 7.792524528931793E-4
172.005, 7.924657419720116E-4
172.01, 8.069829079720164E-4
172.015, 8.223487040539962E-4
172.02, 8.381078833788449E-4
172.025, 8.538051991071836E-4
172.03, 8.689854043999045E-4
172.035, 8.831932524178106E-4
172.04, 8.959734963217051E-4
172.045, 9.06870889272391E-4
172.05, 9.154301844307127E-4
172.055, 9.212039211728333E-4
172.06, 9.240473280010556E-4
172.065, 9.242088372983236E-4
172.07, 9.219631599247572E-4
172.075, 9.175850067404761E-4
172.08, 9.113490886055594E-4
172.085, 9.035301163801986E-4
172.09, 8.944028009244834E-4
172.095, 8.84241853098533E-4
172.1, 8.733219837624667E-4
172.105, 8.619179037764046E-4
172.11, 8.503043240004E-4
172.115, 8.387559552947056E-4
172.12, 8.275471723795177E-4
172.125, 8.168810883252278E-4
172.13, 8.068018220494535E-4
172.135, 7.973319795189081E-4
172.14, 7.88494166700305E-4
172.145, 7.803109895603129E-4
172.15, 7.728050540657382E-4
172.155, 7.659989661832459E-4
172.16, 7.599153318795496E-4
172.165, 7.545767571213623E-4
172.17, 7.500058478753976E-4
172.175, 7.462252101083497E-4
172.18, 7.432574497869748E-4
172.185, 7.411251728779625E-4
172.19, 7.398309884760254E-4
172.195, 7.392975181878712E-4
172.2, 7.394273867482067E-4
172.205, 7.401232188917451E-4
172.21, 7.412876393531841E-4
172.215, 7.428232728672334E-4
172.22, 7.446327441685999E-4
172.225, 7.466186779919906E-4
172.23, 7.486836990721124E-4
172.235, 7.50730432143684E-4
172.24, 7.52661501941388E-4
172.245, 7.543795331999436E-4
172.25, 7.557871506540575E-4
172.255, 7.567968657316149E-4
172.26, 7.573942587022692E-4
172.265, 7.575976595068261E-4
172.27, 7.574255525656702E-4
172.275, 7.568964222991905E-4
172.28, 7.560287531277734E-4
172.285, 7.548410294718059E-4
172.29, 7.533517357516744E-4
172.295, 7.515793563877657E-4
172.3, 7.49542375800454E-4
172.305, 7.472592784101497E-4
172.31, 7.44748548637228E-4
172.315, 7.420286709020761E-4
172.32, 7.391264912910046E-4
